 Number | Obsoleted |        Reference
RFC0091 |           | Mealy, G., "Proposed User-User Protocol", RFC 91, December 1970.
RFC0093 |           | McKenzie, A., "Initial Connection Protocol", RFC 93, January 1971.
RFC0094 |           | Harslem, E. and J. Heafner, "Some thoughts on Network Graphics", RFC 94, February 1971.
RFC0095 |   RFC0155 | Crocker, S., "Distribution of NWG/RFC's through the NIC", RFC 95, February 1971.
RFC0096 |           | Watson, R., "An Interactive Network Experiment to Study Modes of Access the Network Information Center", RFC 96, February 1971.
RFC0097 |           | Melvin, J. and R. Watson, "First Cut at a Proposed Telnet Protocol", RFC 97, February 1971.
RFC0098 |           | Meyer, E. and T. Skinner, "Logger Protocol Proposal", RFC 98, February 1971.
RFC0099 |           | Karp, P., "Network Meeting", RFC 99, February 1971.
RFC0100 |           | Karp, P., "Categorization and guide to NWG/RFCs", RFC 100, February 1971.
RFC0101 |           | Watson, R., "Notes on the Network Working Group meeting, Urbana, Illinois, February 17, 1971", RFC 101, February 1971.
RFC0102 |           | Crocker, S., "Output of the Host-Host Protocol glitch cleaning committee", RFC 102, February 1971.
RFC0103 |           | Kalin, R., "Implementation of Interrupt Keys", RFC 103, February 1971.
RFC0104 |           | Postel, J. and S. Crocker, "Link 191", RFC 104, February 1971.
RFC0105 |           | White, J., "Network Specifications for Remote Job Entry and Remote Job Output Retrieval at UCSB", RFC 105, March 1971.
RFC0106 |           | O'Sullivan, T., "User/Server Site Protocol Network Host Questionnaire", RFC 106, March 1971.
RFC0107 |           | Bressler, R., Crocker, S., Crowther, W., Grossman, G., Tomlinson, R., and J. White, "Output of the Host-Host Protocol Glitch Cleaning Committee", RFC 107, March 1971.
RFC0108 |           | Watson, R., "Attendance list at the Urbana NWG meeting, February 17-19, 1971", RFC 108, March 1971.
RFC0109 |           | Winett, J., "Level III Server Protocol for the Lincoln Laboratory 360/67 Host", RFC 109, March 1971.
RFC0110 |           | Winett, J., "Conventions for Using an IBM 2741 Terminal as a User Console for Access to Network Server Hosts", RFC 110, March 1971.
RFC0111 |           | Crocker, S., "Pressure from the Chairman", RFC 111, March 1971.
RFC0112 |           | O'Sullivan, T., "User/Server Site Protocol: Network Host Questionnaire", RFC 112, April 1971.
RFC0113 |           | Harslem, E., Heafner, J., and J. White, "Network activity report: UCSB Rand", RFC 113, April 1971.
RFC0114 |           | Bhushan, A., "File Transfer Protocol", RFC 114, April 1971.
RFC0115 |           | Watson, R. and J. North, "Some Network Information Center policies on handling documents", RFC 115, April 1971.
RFC0116 |           | Crocker, S., "Structure of the May NWG Meeting", RFC 116, April 1971.
RFC0117 |           | Wong, J., "Some comments on the official protocol", RFC 117, April 1971.
RFC0118 |           | Watson, R., "Recommendations for facility documentation", RFC 118, April 1971.
RFC0119 |           | Krilanovich, M., "Network Fortran Subprograms", RFC 119, April 1971.
RFC0120 |           | Krilanovich, M., "Network PL1 subprograms", RFC 120, April 1971.
RFC0121 |           | Krilanovich, M., "Network on-line operators", RFC 121, April 1971.
RFC0122 |           | White, J., "Network specifications for UCSB's Simple-Minded File System", RFC 122, April 1971.
RFC0123 |   RFC0165 | Crocker, S., "Proffered Official ICP", RFC 123, April 1971.
RFC0124 |           | Melvin, J., "Typographical error in RFC 107", RFC 124, April 1971.
RFC0125 |           | McConnell, J., "Response to RFC 86: Proposal for Network Standard Format for a Graphics Data Stream", RFC 125, April 1971.
RFC0126 |           | McConnell, J., "Graphics Facilities at Ames Research Center", RFC 126, April 1971.
RFC0127 |   RFC0145 | Postel, J., "Comments on RFC 123", RFC 127, April 1971.
RFC0128 |           | Postel, J., "Bytes", RFC 128, April 1971.
RFC0129 |           | Harslem, E., Heafner, J., and E. Meyer, "Request for comments on socket name structure", RFC 129, April 1971.
RFC0130 |           | Heafner, J., "Response to RFC 111: Pressure from the chairman", RFC 130, April 1971.
RFC0131 |           | Harslem, E. and J. Heafner, "Response to RFC 116: May NWG meeting", RFC 131, April 1971.
RFC0132 |   RFC0154 | White, J., "Typographical Error in RFC 107", RFC 132, April 1971.
RFC0133 |           | Sunberg, R., "File Transfer and Error Recovery", RFC 133, April 1971.
RFC0134 |           | Vezza, A., "Network Graphics meeting", RFC 134, April 1971.
RFC0135 |           | Hathaway, W., "Response to NWG/RFC 110", RFC 135, April 1971.
RFC0136 |           | Kahn, R., "Host accounting and administrative procedures", RFC 136, April 1971.
RFC0137 |           | O'Sullivan, T., "Telnet Protocol - a proposed document", RFC 137, April 1971.
RFC0138 |           | Anderson, R., Cerf, V., Harslem, E., Heafner, J., Madden, J., Metcalfe, R., Shoshani, A., White, J., and D. Wood, "Status report on proposed Data Reconfiguration Service", RFC 138, April 1971.
RFC0139 |           | O'Sullivan, T., "Discussion of Telnet Protocol", RFC 139, May 1971.
RFC0140 |           | Crocker, S., "Agenda for the May NWG meeting", RFC 140, May 1971.
RFC0141 |           | Harslem, E. and J. Heafner, "Comments on RFC 114: A File Transfer Protocol", RFC 141, April 1971.
RFC0142 |           | Kline, C. and J. Wong, "Time-Out Mechanism in the Host-Host Protocol", RFC 142, May 1971.
RFC0143 |   RFC0165 | Naylor, W., Wong, J., Kline, C., and J. Postel, "Regarding proffered official ICP", RFC 143, May 1971.
RFC0144 |           | Shoshani, A., "Data sharing on computer networks", RFC 144, April 1971.
RFC0145 |   RFC0165 | Postel, J., "Initial Connection Protocol Control Commands", RFC 145, May 1971.
RFC0146 |           | Karp, P., McKay, D., and D. Wood, "Views on issues relevant to data sharing on computer networks", RFC 146, May 1971.
RFC0147 |           | Winett, J., "Definition of a socket", RFC 147, May 1971.
RFC0148 |           | Bhushan, A., "Comments on RFC 123", RFC 148, May 1971.
RFC0149 |           | Crocker, S., "Best Laid Plans", RFC 149, May 1971.
RFC0150 |           | Kalin, R., "Use of IPC Facilities: A Working Paper", RFC 150, May 1971.
RFC0151 |           | Shoshani, A., "Comments on a proffered official ICP: RFCs 123, 127", RFC 151, May 1971.
RFC0152 |           | Wilber, M., "SRI Artificial Intelligence status report", RFC 152, May 1971.
RFC0153 |           | Melvin, J. and R. Watson, "SRI ARC-NIC status", RFC 153, May 1971.
RFC0154 |           | Crocker, S., "Exposition Style", RFC 154, May 1971.
RFC0155 |   RFC0168 | North, J., "ARPA Network mailing lists", RFC 155, May 1971.
RFC0156 |           | Bouknight, J., "Status of the Illinois site: Response to RFC 116", RFC 156, April 1971.
RFC0157 |           | Cerf, V., "Invitation to the Second Symposium on Problems in the Optimization of Data Communications Systems", RFC 157, May 1971.
RFC0158 |   RFC0495 | O'Sullivan, T., "Telnet Protocol: A Proposed Document", RFC 158, May 1971.
RFC0160 |   RFC0200, RFC0999 | Network Information Center. Stanford Research Institute, "RFC brief list", RFC 160, May 1971.
RFC0161 |           | Shoshani, A., "Solution to the race condition in the ICP", RFC 161, May 1971.
RFC0162 |           | Kampe, M., "NETBUGGER3", RFC 162, May 1971.
RFC0163 |           | Cerf, V., "Data transfer protocols", RFC 163, May 1971.
RFC0164 |           | Heafner, J., "Minutes of Network Working Group meeting, 5/16 through 5/19/71", RFC 164, May 1971.
RFC0165 |           | Postel, J., "Proffered Official Initial Connection Protocol", RFC 165, May 1971.
RFC0166 |           | Anderson, R., Cerf, V., Harslem, E., Heafner, J., Madden, J., Metcalfe, R., Shoshani, A., White, J., and D. Wood, "Data Reconfiguration Service: An implementation specification", RFC 166, May 1971.
RFC0167 |           | Bhushan, A., Metcalfe, R., and J. Winett, "Socket conventions reconsidered", RFC 167, May 1971.
RFC0168 |   RFC0211 | North, J., "ARPA Network mailing lists", RFC 168, May 1971.
RFC0169 |           | Crocker, S., "COMPUTER NETWORKS", RFC 169, May 1971.
RFC0170 |   RFC0200 | Network Information Center. Stanford Research Institute, "RFC List by Number", RFC 170, June 1971.
RFC0171 |   RFC0264 | Bhushan, A., Braden, B., Crowther, W., Harslem, E., Heafner, J., McKenize, A., Melvin, J., Sundberg, B., Watson, D., and J. White, "The Data Transfer Protocol", RFC 171, June 1971.
RFC0172 |   RFC0265 | Bhushan, A., Braden, B., Crowther, W., Harslem, E., Heafner, J., McKenzie, A., Melvin, J., Sundberg, B., Watson, D., and J. White, "The File Transfer Protocol", RFC 172, June 1971.
RFC0173 |           | Karp, P. and D. McKay, "Network Data Management Committee Meeting Announcement", RFC 173, June 1971.
RFC0174 |           | Postel, J. and V. Cerf, "UCLA - Computer Science Graphics Overview", RFC 174, June 1971.
RFC0175 |           | Harslem, E. and J. Heafner, "Comments on "Socket Conventions Reconsidered"", RFC 175, June 1971.
RFC0176 |           | Bhushan, A., Kanodia, R., Metcalfe, R., and J. Postel, "Comments on "Byte size for connections"", RFC 176, June 1971.
RFC0177 |           | McConnell, J., "Device independent graphical display description", RFC 177, June 1971.
RFC0178 |           | Cotton, I., "Network graphic attention handling", RFC 178, June 1971.
RFC0179 |           | McKenzie, A., "Link Number Assignments", RFC 179, June 1971.
RFC0180 |           | McKenzie, A., "File system questionnaire", RFC 180, June 1971.
RFC0181 |           | McConnell, J., "Modifications to RFC 177", RFC 181, July 1971.
RFC0182 |           | North, J., "Compilation of list of relevant site reports", RFC 182, June 1971.
RFC0183 |           | Winett, J., "EBCDIC Codes and Their Mapping to ASCII", RFC 183, July 1971.
RFC0184 |           | Kelley, K., "Proposed graphic display modes", RFC 184, July 1971.
RFC0185 |           | North, J., "NIC distribution of manuals and handbooks", RFC 185, July 1971.
RFC0186 |           | Michener, J., "Network graphics loader", RFC 186, July 1971.
RFC0187 |           | McKay, D. and D. Karp, "Network/440 Protocol Concept", RFC 187, July 1971.
RFC0188 |           | Karp, P. and D. McKay, "Data management meeting announcement", RFC 188, January 1971.
RFC0189 |   RFC0599 | Braden, R., "Interim NETRJS specifications", RFC 189, July 1971.
RFC0190 |           | Deutsch, L., "DEC PDP-10-IMLAC communications system", RFC 190, July 1971.
RFC0191 |           | Irby, C., "Graphics implementation and conceptualization at Augmentation Research Center", RFC 191, July 1971.
RFC0192 |           | Watson, R., "Some factors which a Network Graphics Protocol must consider", RFC 192, July 1971.
RFC0193 |   RFC0198 | Harslem, E. and J. Heafner, "NETWORK CHECKOUT", RFC 193, July 1971.
RFC0194 |           | Cerf, V., Harslem, E., Heafner, J., Metcalfe, B., and J. White, "The Data Reconfiguration Service -- Compiler/Interpreter Implementation Notes", RFC 194, July 1971.
RFC0195 |           | Mealy, G., "Data computers-data descriptions and access language", RFC 195, July 1971.
RFC0196 |   RFC0221 | Watson, R., "Mail Box Protocol", RFC 196, July 1971.
RFC0197 |           | Shoshani, A. and E. Harslem, "Initial Connection Protocol - Reviewed", RFC 197, July 1971.
RFC0198 |   RFC0214 | Heafner, J., "Site Certification - Lincoln Labs 360/67", RFC 198, July 1971.
RFC0199 |           | Williams, T., "Suggestions for a Network Data-Tablet Graphics Protocol", RFC 199, July 1971.
RFC0200 |   NIC 7724 | North, J., "RFC list by number", RFC 200, August 1971.
RFC0202 |           | Wolfe, S. and J. Postel, "Possible Deadlock in ICP", RFC 202, July 1971.
RFC0203 |           | Kalin, R., "Achieving reliable communication", RFC 203, August 1971.
RFC0204 |           | Postel, J., "Sockets in use", RFC 204, August 1971.
RFC0205 |           | Braden, R., "NETCRT - a character display protocol", RFC 205, August 1971.
RFC0206 |           | White, J., "A User TELNET Description of an Initial Implementation", RFC 206, August 1971.
RFC0207 |   RFC0212 | Vezza, A., "September Network Working Group meeting", RFC 207, August 1971.
RFC0208 |           | McKenzie, A., "Address tables", RFC 208, August 1971.
RFC0209 |           | Cosell, B., "Host/IMP interface documentation", RFC 209, August 1971.
RFC0210 |           | Conrad, W., "Improvement of Flow Control", RFC 210, August 1971.
RFC0211 |   RFC0300 | North, J., "ARPA Network Mailing Lists", RFC 211, August 1971.
RFC0212 |           | Information Sciences Institute University of Southern California, "NWG meeting on network usage", RFC 212, August 1971.
RFC0213 |           | Cosell, B., "IMP System change notification", RFC 213, August 1971.
RFC0214 |           | Harslem, E., "Network checkpoint", RFC 214, August 1971.
RFC0215 |           | McKenzie, A., "NCP, ICP, and Telnet: The Terminal IMP implementation", RFC 215, August 1971.
RFC0216 |           | White, J., "Telnet Access to UCSB's On-Line System", RFC 216, September 1971.
RFC0217 |           | White, J., "Specifications changes for OLS, RJE/RJOR, and SMFS", RFC 217, September 1971.
RFC0218 |           | Cosell, B., "Changing the IMP status reporting facility", RFC 218, September 1971.
RFC0219 |           | Winter, R., "User's View of the Datacomputer", RFC 219, September 1971.
RFC0221 |   RFC0278 | Watson, R., "Mail Box Protocol: Version 2", RFC 221, August 1971.
RFC0222 |           | Metcalfe, R., "Subject: System programmer's workshop", RFC 222, September 1971.
RFC0223 |           | Melvin, J. and R. Watson, "Network Information Center schedule for network users", RFC 223, September 1971.
RFC0224 |           | McKenzie, A., "Comments on Mailbox Protocol", RFC 224, September 1971.
RFC0225 |           | Harslem, E. and R. Stoughton, "Rand/UCSB network graphics experiment", RFC 225, September 1971.
RFC0226 |   RFC0247 | Karp, P., "Standardization of host mnemonics", RFC 226, September 1971.
RFC0227 |           | Heafner, J. and E. Harslem, "Data transfer rates (Rand/UCLA)", RFC 227, September 1971.
RFC0228 |           | Walden, D., "Clarification", RFC 228, September 1971.
RFC0229 |   RFC0236 | Postel, J., "Standard host names", RFC 229, September 1971.
RFC0230 |           | Pyke, T., "Toward reliable operation of minicomputer-based terminals on a TIP", RFC 230, September 1971.
RFC0231 |           | Heafner, J. and E. Harslem, "Service center standards for remote usage: A user's view", RFC 231, September 1971.
RFC0232 |           | Vezza, A., "Postponement of network graphics meeting", RFC 232, September 1971.
RFC0233 |           | Bhushan, A. and R. Metcalfe, "Standardization of host call letters", RFC 233, September 1971.
RFC0234 |           | Vezza, A., "Network Working Group meeting schedule", RFC 234, October 1971.
RFC0235 |   RFC0240 | Westheimer, E., "Site status", RFC 235, September 1971.
RFC0236 |           | Postel, J., "Standard host names", RFC 236, September 1971.
RFC0237 |   RFC0273 | Watson, R., "NIC view of standard host names", RFC 237, October 1971.
RFC0238 |           | Braden, R., "Comments on DTP and FTP proposals", RFC 238, September 1971.
RFC0239 |           | Braden, R., "Host mnemonics proposed in RFC 226 (NIC 7625)", RFC 239, September 1971.
RFC0240 |   RFC0252 | McKenzie, A., "Site Status", RFC 240, September 1971.
RFC0241 |           | McKenzie, A., "Connecting computers to MLC ports", RFC 241, September 1971.
RFC0242 |           | Haibt, L. and A. Mullery, "Data Descriptive Language for Shared Data", RFC 242, July 1971.
RFC0243 |   RFC0290 | Mullery, A., "Network and data sharing bibliography", RFC 243, October 1971.
RFC0245 |           | Falls, C., "Reservations for Network Group meeting", RFC 245, October 1971.
RFC0246 |           | Vezza, A., "Network Graphics meeting", RFC 246, October 1971.
RFC0247 |           | Karp, P., "Proffered set of standard host names", RFC 247, October 1971.
RFC0249 |           | Borelli, R., "Coordination of equipment and supplies purchase", RFC 249, October 1971.
RFC0250 |           | Brodie, H., "Some thoughts on file transfer", RFC 250, October 1971.
RFC0251 |           | Stern, D., "Weather data", RFC 251, October 1971.
RFC0252 |   RFC0255 | Westheimer, E., "Network host status", RFC 252, October 1971.
RFC0253 |           | Moorer, J., "Second Network Graphics meeting details", RFC 253, October 1971.
RFC0254 |           | Bhushan, A., "Scenarios for using ARPANET computers", RFC 254, October 1971.
RFC0255 |   RFC0266 | Westheimer, E., "Status of network hosts", RFC 255, October 1971.
RFC0256 |           | Cosell, B., "IMPSYS change notification", RFC 256, November 1971.
RFC0263 |           | McKenzie, A., ""Very Distant" Host interface", RFC 263, December 1971.
RFC0264 |   RFC0354 | Bhushan, A., Braden, B., Crowther, W., Harslem, E., Heafner, J., McKenize, A., Sundberg, B., Watson, D., and J. White, "The Data Transfer Protocol", RFC 264, January 1972.
RFC0265 |   RFC0354 | Bhushan, A., Braden, B., Crowther, W., Harslem, E., Heafner, J., McKenzie, A., Melvin, J., Sundberg, B., Watson, D., and J. White, "The File Transfer Protocol", RFC 265, November 1971.
RFC0266 |   RFC0267 | Westheimer, E., "Network host status", RFC 266, November 1971.
RFC0267 |   RFC0287 | Westheimer, E., "Network Host Status", RFC 267, November 1971.
RFC0268 |           | Postel, J., "Graphics facilities information", RFC 268, November 1971.
RFC0269 |           | Brodie, H., "Some Experience with File Transfer", RFC 269, December 1971.
RFC0270 |           | McKenzie, A., "Correction to BBN Report No. 1822 (NIC NO 7958)", RFC 270, January 1972.
RFC0271 |           | Cosell, B., "IMP System change notifications", RFC 271, January 1972.
RFC0273 |           | Watson, R., "More on standard host names", RFC 273, October 1971.
RFC0274 |           | Forman, E., "Establishing a local guide for network usage", RFC 274, November 1971.
RFC0276 |           | Watson, R., "NIC course", RFC 276, November 1971.
RFC0278 |           | Bhushan, A., Braden, R., Harslem, E., Heafner, J., McKenzie, A., Melvin, J., Sundberg, R., Watson, R., and J. White, "Revision of the Mail Box Protocol", RFC 278, November 1971.
RFC0280 |           | Watson, R., "A Draft of Host Names", RFC 280, November 1971.
RFC0281 |           | McKenzie, A., "Suggested addition to File Transfer Protocol", RFC 281, December 1971.
RFC0282 |           | Padlipsky, M., "Graphics meeting report", RFC 282, December 1971.
RFC0283 |           | Braden, R., "NETRJT: Remote Job Service Protocol for TIPS", RFC 283, December 1971.
RFC0285 |           | Huff, D., "Network graphics", RFC 285, December 1971.
RFC0286 |           | Forman, E., "Network Library Information System", RFC 286, December 1971.
RFC0287 |   RFC0288 | Westheimer, E., "Status of Network Hosts", RFC 287, December 1971.
RFC0288 |   RFC0293 | Westheimer, E., "Network host status", RFC 288, January 1972.
RFC0289 |   RFC0384 | Watson, R., "What we hope is an official list of host names", RFC 289, December 1971.
RFC0290 |           | Mullery, A., "Computer networks and data sharing: A bibliography", RFC 290, January 1972.
RFC0291 |           | McKay, D., "Data Management Meeting Announcement", RFC 291, January 1972.
RFC0292 |   RFC0493 | Michener, J., Cotton, I., Kelley, K., Liddle, D., and E. Meyer, "Graphics Protocol: Level 0 only", RFC 292, January 1972.
RFC0293 |   RFC0298 | Westheimer, E., "Network Host Status", RFC 293, January 1972.
RFC0294 |           | Bhushan, A., "The Use of "Set Data Type" Transaction in File Transfer Protocol", RFC 294, January 1972.
RFC0295 |           | Postel, J., "Report of the Protocol Workshop, 12 October 1971", RFC 295, January 1972.
RFC0296 |           | Liddle, D., "DS-1 Display System", RFC 296, January 1972.
RFC0297 |           | Walden, D., "TIP Message Buffers", RFC 297, January 1972.
RFC0298 |   RFC0306 | Westheimer, E., "Network host status", RFC 298, February 1972.
RFC0299 |           | Hopkin, D., "Information Management System", RFC 299, February 1972.
RFC0300 |   RFC0303 | North, J., "ARPA Network mailing lists", RFC 300, January 1972.
RFC0301 |           | Alter, R., "BBN IMP (#5) and NCC Schedule March 4, 1971", RFC 301, February 1972.
RFC0302 |           | Bryan, R., "Exercising The ARPANET", RFC 302, February 1972.
RFC0303 |   RFC0329 | Network Information Center. Stanford Research Institute, "ARPA Network mailing lists", RFC 303, March 1972.
RFC0304 |           | McKay, D., "Data Management System Proposal for the ARPA Network", RFC 304, February 1972.
RFC0305 |           | Alter, R., "Unknown Host Numbers", RFC 305, February 1972.
RFC0306 |   RFC0315 | Westheimer, E., "Network host status", RFC 306, February 1972.
RFC0307 |           | Harslem, E., "Using network Remote Job Entry", RFC 307, February 1972.
RFC0308 |           | Seriff, M., "ARPANET host availability data", RFC 308, March 1972.
RFC0309 |           | Bhushan, A., "Data and File Transfer Workshop Announcement", RFC 309, March 1972.
RFC0310 |           | Bhushan, A., "Another Look at Data and File Transfer Protocols", RFC 310, April 1972.
RFC0311 |           | Bryan, R., "New Console Attachments to the USCB Host", RFC 311, February 1972.
RFC0312 |           | McKenzie, A., "Proposed Change in IMP-to-Host Protocol", RFC 312, March 1972.
